[INFO] [1751983376.770950240] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.05] | Desired: [1.00, 1.00, 3.00] | Motors: [1127, 1127, 1133, 1121]
[INFO] [1751983379.386610361] [Feedback_Linearization_Controller]: Pos: [-0.37, -4.31, 0.27] | Desired: [1.00, 1.00, 3.00] | Motors: [1257, 1343, 1294, 1308]
[INFO] [1751983379.403780644] [Feedback_Linearization_Controller]: Pos: [-0.34, -4.36, 0.29] | Desired: [1.00, 1.00, 3.00] | Motors: [1324, 1407, 1360, 1372]
[INFO] [1751983379.420298988] [Feedback_Linearization_Controller]: Pos: [-0.30, -4.41, 0.30] | Desired: [1.00, 1.00, 3.00] | Motors: [1402, 1482, 1437, 1448]
[INFO] [1751983379.437195144] [Feedback_Linearization_Controller]: Pos: [-0.27, -4.47, 0.32] | Desired: [1.00, 1.00, 3.00] | Motors: [1500, 1500, 1500, 1500]
[INFO] [1751983379.454355901] [Feedback_Linearization_Controller]: Pos: [-0.23, -4.53, 0.34] | Desired: [1.00, 1.00, 3.00] | Motors: [1500, 1500, 1500, 1500]
[INFO] [1751983379.471304250] [Feedback_Linearization_Controller]: Pos: [-0.19, -4.59, 0.35] | Desired: [1.00, 1.00, 3.00] | Motors: [1500, 1500, 1500, 1500]
[INFO] [1751983379.492751574] [Feedback_Linearization_Controller]: Pos: [-0.16, -4.65, 0.37] | Desired: [1.00, 1.00, 3.00] | Motors: [1500, 1500, 1500, 1500]
[INFO] [1751983379.513009593] [Feedback_Linearization_Controller]: Pos: [-0.12, -4.71, 0.38] | Desired: [1.00, 1.00, 3.00] | Motors: [1500, 1500, 1500, 1500]
[INFO] [1751983379.526135155] [Feedback_Linearization_Controller]: Pos: [-0.08, -4.78, 0.39] | Desired: [1.00, 1.00, 3.00] | Motors: [1500, 1500, 1500, 1500]
[INFO] [1751983379.541964784] [Feedback_Linearization_Controller]: Pos: [-0.04, -4.86, 0.40] | Desired: [1.00, 1.00, 3.00] | Motors: [1500, 1500, 1500, 1500]
[INFO] [1751983379.559105164] [Feedback_Linearization_Controller]: Pos: [0.00, -4.94, 0.40] | Desired: [1.00, 1.00, 3.00] | Motors: [1500, 1500, 1500, 1500]
[INFO] [1751983379.582614252] [Feedback_Linearization_Controller]: Pos: [0.04, -5.02, 0.40] | Desired: [1.00, 1.00, 3.00] | Motors: [1500, 1500, 1500, 1500]
[INFO] [1751983379.596310540] [Feedback_Linearization_Controller]: Pos: [0.08, -5.10, 0.40] | Desired: [1.00, 1.00, 3.00] | Motors: [1500, 1500, 1500, 1500]
